uid,movid,sim_length,mov_length,sim_duration,mov_duration,start_ts,end_ts,consumption,legs_consumptions,emergency,scenario,recharges,start_osmid,end_osmid,start_charge,stay_charge,start_loc_type,station_recharge_amounts
89,3,0.0,13398.817874880651,3122.095557600001,1415.0,1209987399,1209988723,16129470,[16129470],0,3,0,1367489041,258970193,121595290,15204710,W,[]
89,2,0.0,13031.527778377977,2929.303083600002,3475.0,1210043296,1210044794,15204710,[15204710],0,3,0,258970193,1364164051,120670530,16129470,H,[]
89,3,0.0,13398.817874880651,3122.095557600001,1415.0,1210075179,1210076594,16129470,[16129470],0,3,0,1367489041,258970193,121595290,15204710,W,[]
89,2,0.0,13031.527778377977,2929.303083600002,3475.0,1210119136,1210122611,15204710,[15204710],0,3,0,258970193,1364164051,120670530,16129470,H,[]
89,3,0.0,13398.817874880651,3122.095557600001,1415.0,1210244379,1210246413,16129470,[16129470],0,3,0,1367489041,258970193,121595290,15204710,W,[]
89,2,0.0,13031.527778377977,2929.303083600002,3475.0,1210307709,1210308415,15204710,[15204710],0,3,0,258970193,1364164051,120670530,16129470,H,[]
89,3,0.0,13398.817874880651,3122.095557600001,1415.0,1210332279,1210335580,16129470,[16129470],0,3,0,1367489041,258970193,121595290,15204710,W,[]
89,4,0.0,1298.4772106998753,233.7926976,309.0,1210386309,1210386618,901198,[901198],0,3,0,258970193,1814086969,120670530,16129470,H,[]
89,4,0.0,1298.4772106998753,233.7926976,309.0,1210387852,1210388575,901198,[901198],0,3,0,258970193,1814086969,135898802,901198,H,[]
89,5,0.0,19052.05783233246,4661.695281600001,2832.0,1210487827,1210490659,18630394,[18630394],0,3,0,258970193,1806444910,135898802,901198,H,[]
89,7,0.0,5665.057332817958,1275.9306624000005,1045.0,1210504048,1210505093,5244335,[5244335],0,3,0,1806444910,528607839,118169606,0,O,[]
89,8,0.0,12566.795183400174,2936.6680896,2060.0,1210507407,1210509467,13730306,[13730306],0,3,0,528607839,2207736104,112925271,0,O,[]
89,9,0.0,3474.5583132299394,1652.7945023999996,1735.0,1211007754,1211009489,7170569,[7170569],0,3,0,2207736104,2293148393,99194965,0,O,[]
89,10,0.0,45491.79556998374,9566.0106948,6888.0,1211009491,1211016379,40775289,[40775289],0,3,0,2293148393,9346372267,92024396,0,O,[]
115,0,80879.38099999998,82477.30451405697,-2,4969.0,1209601936,1209606905,-2,[],1,3,0,2207734245,8060838455,136800000,0,O,[]
115,1,0.0,75767.16598853646,18588.577248,3348.0,1209637844,1209641192,78995117,[78995117],0,3,0,8060838455,9249685502,136800000,0,O,[]
115,2,0.0,6206.019501899251,1518.9635376,689.0,1209646501,1209647190,6891433,[6891433],0,3,0,9249685502,2207734252,57804883,0,O,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1209942909,1209946565,40031647,[40031647],0,3,0,2207734252,1364164051,50913450,85886550,W,[]
